primitivo,capa,definicion,clasificacion_DAN,domain_rate,global_rate,ratio
vacío,1,"Ausencia como sustancia, espacio potencial",N,0.0000,0.0531,0.1585
información,1,"Patrón, código, estructura abstracta",A,1.0000,0.9649,1.0360
uno,1,"Singularidad, unidad",N,0.0000,0.3269,0.0297
fuerza,2,"Capacidad de cambio, empuje, potencial",A,0.6861,0.8259,0.8327
eje_profundidad,2,Dimensión adelante-atrás,A,1.0000,0.9677,1.0331
contención,2,"Dentro/fuera, límites y fronteras",A,1.0000,0.9409,1.0621
más,2,"Aumento, incremento",A,0.6861,0.9127,0.7544
menos,2,"Disminución, reducción",N,0.0000,0.0337,0.2288
unión,2,"Juntar, conectar, vincular",D,1.0000,0.5245,1.8897
separación,2,"Dividir, aislar, desconectar",D,0.3139,0.0785,3.6601
parte_de,2,"Inclusión, pertenencia",N,0.0000,0.1477,0.0634
mover,3,"Desplazamiento, cambio de posición",N,0.3358,0.9423,0.3631
posición_temporal,3,"Pasado, presente, futuro",A,1.0000,0.9206,1.0853
flujo_temporal,3,"Cómo pasa el tiempo, duración",N,0.0000,0.2553,0.0377
hacer,3,"Acción, ejecución, producción",A,1.0000,0.9871,1.0130
creación,3,Generar algo nuevo,N,0.0000,0.7613,0.0130
destrucción,3,"Eliminar, deshacer",N,0.0000,0.6593,0.0149
orden,3,"Estructura, regularidad",A,1.0000,0.9801,1.0200
caos,3,"Desorden, turbulencia",A,1.0000,0.7964,1.2525
porque,3,"Causalidad, razón",A,1.0000,0.8606,1.1602
si_entonces,3,"Condicionalidad, implicación",N,0.0000,0.0605,0.1419
eje_vertical,4,Dimensión arriba-abajo,D,0.3139,0.0406,6.3970
eje_lateral,4,Dimensión izquierda-derecha,A,0.0000,0.0092,0.5199
equilibrio,4,"Balance, orientación espacial",A,0.0000,0.0097,0.5077
vista,4,Percepción visual,D,1.0000,0.2161,4.4677
bien,4,Polo moral positivo,D,1.0000,0.1066,8.6585
mal,4,Polo moral negativo,D,1.0000,0.1339,7.0194
verdad,4,Correspondencia con realidad,D,1.0000,0.3287,2.9818
mentira,4,Distorsión de realidad,D,1.0000,0.1787,5.3533
libertad,4,Autodeterminación,D,1.0000,0.5771,1.7203
control,4,"Restricción, regulación",D,1.0000,0.4178,2.3608
tipo_de,4,"Clasificación, categoría",A,0.0000,0.0023,0.8125
algunos,4,"Parte, porción",N,0.0000,0.3670,0.0265
muchos,4,Pluralidad,A,1.0000,0.8887,1.1238
todo,4,"Totalidad, completitud",D,0.7737,0.4765,1.6111
puede,4,"Posibilidad, capacidad",D,1.0000,0.3523,2.7880
debe,4,"Obligación, necesidad",D,1.0000,0.3952,2.4926
tal_vez,4,"Incertidumbre, apertura",A,1.0000,0.7345,1.3566
tierra,5,"Solidez, fundamento, lo tangible",N,0.0000,0.7521,0.0131
agua,5,"Fluidez, adaptación, profundidad",N,0.0000,0.8223,0.0120
aire,5,"Expansión, respiración, ubicuidad",D,1.0000,0.6283,1.5822
fuego,5,"Transformación, calor, radiancia",N,0.0000,0.7364,0.0134
tacto,5,"Presión, temperatura, textura",N,0.0000,0.5028,0.0195
oído,5,"Sonido, música, lenguaje hablado",D,1.0000,0.2678,3.6360
gusto,5,Percepción gustativa,N,0.0000,0.0245,0.2901
olfato,5,Percepción olfativa,N,0.0000,0.3306,0.0294
interocepción,5,Estado interno del cuerpo,N,0.0000,0.0799,0.1113
vida,5,"Animación, crecimiento",D,1.0000,0.4409,2.2399
muerte,5,"Cese vital, disolución",N,0.0000,0.0203,0.3299
placer,5,Experiencia hedónica positiva,D,1.0000,0.2202,4.3871
dolor,5,Experiencia hedónica negativa,D,1.0000,0.4543,2.1753
consciente,5,"Awareness, presencia de conciencia",D,1.0000,0.3920,2.5126
ausente,5,Ausencia de conciencia,N,0.0000,0.2322,0.0413
individual,5,"Uno solo, particular",A,0.0000,0.0060,0.6249
colectivo,5,"Grupo, comunidad",N,0.0000,0.0776,0.1142
querer,5,"Deseo, voluntad, intención",D,0.3139,0.0332,7.4899
saber,5,"Conocimiento, comprensión",D,1.0000,0.2641,3.6850
pensar,5,"Razonamiento, reflexión",A,1.0000,0.8661,1.1528
decir,5,Comunicación verbal,D,1.0000,0.1708,5.5856
temporal_obs,6,"Observador mortal, atado al tiempo",N,0.0000,0.0346,0.2241
eterno_obs,6,Observador fuera del tiempo,A,0.0000,0.0009,0.9155
receptivo,6,"Que recibe, absorbe, escucha",N,0.0000,0.2216,0.0432
creador_obs,6,"Que crea, produce activamente",N,0.0000,0.0332,0.2313
atracción,3,"Tendencia de aproximación, valencia positiva",D,1.0000,0.0702,12.5974
decaimiento,4,"Deterioro progresivo, disolución de estructura organizada",A,0.0000,0.0092,0.5199
aversión,4,"Tendencia de evitación, valencia negativa",D,1.0000,0.4529,2.1819
cooperación,4,Acción conjunta hacia objetivo compartido,N,0.0000,0.0762,0.1160
pérdida,4,"Ausencia tras haber tenido, vacío dejado por destrucción",N,0.0000,0.0208,0.3249
atención,5,"Foco selectivo de la conciencia, filtro perceptual",N,0.0000,0.0102,0.4961
intención,5,"Propósito dirigido, voluntad de actuar hacia un fin",A,0.0000,0.0014,0.8783
proporción,3,"Relación cuantitativa entre magnitudes, ratio",N,0.0000,0.1427,0.0655
quietud,3,"Ausencia de desplazamiento, permanencia en posición",D,0.5036,0.1274,3.7377
